Date,Weekday,Exercise,Exercise Day,Weight,Unit,Weight in other unit,Other unit,Reps,Sets,Primary Muscles,Secondary Muscles,Additional Muscles
"July 15, 2024",Mánudagur,Bench Press,Chest/Shoulders/Triceps,45,lbs,20,kg,12,1,Pectorals,Triceps,Anterior Deltoids
"July 15, 2024",Mánudagur,Bench Press,Chest/Shoulders/Triceps,95,lbs,43,kg,12,2,Pectorals,Triceps,Anterior Deltoids
"July 15, 2024",Mánudagur,Bench Press,Chest/Shoulders/Triceps,95,lbs,43,kg,9,1,Pectorals,Triceps,Anterior Deltoids
"July 15, 2024",Mánudagur,Bench Press,Chest/Shoulders/Triceps,45,lbs,20,kg,20,1,Pectorals,Triceps,Anterior Deltoids
"July 15, 2024",Mánudagur,Shoulder Press,Chest/Shoulders/Triceps,55,lbs,25,kg,12,1,Deltoids,Triceps,
"July 15, 2024",Mánudagur,Shoulder Press,Chest/Shoulders/Triceps,45,lbs,20,kg,12,2,Deltoids,Triceps,
"July 15, 2024",Mánudagur,Incline Dumbbell Press,Chest/Shoulders/Triceps,40,lbs,18,kg,12,1,Upper Pectorals,Deltoids,Triceps
"July 15, 2024",Mánudagur,Incline Dumbbell Press,Chest/Shoulders/Triceps,50,lbs,23,kg,12,3,Upper Pectorals,Deltoids,Triceps
"July 15, 2024",Mánudagur,Cable Arm Extension,Chest/Shoulders/Triceps,35,lbs,16,kg,12,1,Triceps,,
"July 15, 2024",Mánudagur,Cable Arm Extension,Chest/Shoulders/Triceps,40,lbs,18,kg,12,2,Triceps,,
"July 15, 2024",Mánudagur,Tricep Pushdowns,Chest/Shoulders/Triceps,80,lbs,36,kg,12,1,Triceps,,
"July 15, 2024",Mánudagur,Tricep Pushdowns,Chest/Shoulders/Triceps,70,lbs,32,kg,12,2,Triceps,,
"July 15, 2024",Mánudagur,Lateral Raises Dumbbell,Chest/Shoulders/Triceps,45,lbs,20,kg,12,3,Deltoids,,
"July 15, 2024",Mánudagur,Pectoral Dumbbell Flyes,Chest/Shoulders/Triceps,40,lbs,18,kg,12,3,Pectorals,,
